time,S-1,S-2,S-3,S-4,S-5,S-6,S-7,S-8,S-9
10:36:18,1,1,1,1,1,1,1,1,1
10:36:19,1,1,1,1,1,1,1,1,1
10:36:20,1,1,1,1,1,1,1,1,1
10:36:21,1,1,1,1,1,1,1,1,1
10:36:22,1,1,1,1,1,1,1,1,1
10:36:23,1,1,1,1,1,1,1,1,1
10:36:24,1,1,1,1,1,1,1,1,1
10:36:25,1,1,1,1,1,1,1,1,1
10:36:26,1,1,1,1,1,1,1,1,1
10:36:27,1,1,1,1,1,1,1,1,1
10:36:28,1,1,1,1,1,1,1,1,1
10:36:29,1,1,1,1,1,1,1,1,1
10:36:30,1,1,1,1,1,1,1,1,1
10:36:31,1,1,1,1,1,1,1,1,1
10:36:32,1,1,1,1,1,1,1,1,1
10:36:33,1,1,1,1,1,1,1,1,1
10:36:34,1,1,1,1,1,1,1,1,1
10:36:35,1,1,1,1,1,1,1,1,1
10:36:36,1,1,1,1,1,1,1,1,1
10:36:37,1,1,1,1,1,1,1,1,1
10:36:38,1,1,1,1,1,1,1,1,1
10:36:39,1,1,1,1,1,1,1,1,1
10:36:40,1,1,1,1,1,1,1,1,1
10:36:41,1,1,1,1,1,1,1,1,1
10:36:42,1,1,1,1,1,1,1,1,1
10:36:43,1,1,1,1,1,1,1,1,1
10:36:44,1,1,1,1,1,1,1,1,1
10:36:45,1,1,1,1,1,1,1,1,1
10:36:46,1,1,1,1,1,1,1,1,1
10:36:47,1,1,1,1,1,1,1,1,1
10:36:48,1,1,1,1,1,1,1,1,1
10:36:49,1,1,1,1,1,1,1,1,1
10:36:50,1,1,1,1,1,1,1,1,1
10:36:51,1,1,1,1,1,1,1,1,1
10:36:52,1,1,1,1,1,1,1,1,1
10:36:53,1,1,1,1,1,1,1,1,1
10:36:54,1,1,1,1,1,1,1,1,1
10:36:55,1,1,1,1,1,1,1,1,1
10:36:56,1,1,1,1,1,1,1,1,1
10:36:57,1,1,1,1,1,1,1,1,1
10:36:58,1,1,1,1,1,1,1,1,1
10:36:59,1,1,1,1,1,1,1,1,1
10:37:00,1,1,1,1,1,1,1,1,1
10:37:01,1,1,1,1,1,1,1,1,1
10:37:02,1,1,1,1,1,1,1,1,1
10:37:03,1,1,1,1,1,1,1,1,1
10:37:04,1,1,1,1,1,1,1,1,1
10:37:05,1,1,1,1,1,1,1,1,1
10:37:06,1,1,1,1,1,1,1,1,1
10:37:07,1,1,1,1,1,1,1,1,1
10:37:08,1,1,1,1,1,1,1,1,1
10:37:09,1,1,1,1,1,1,1,1,1
10:37:10,1,1,1,1,1,1,1,1,1
10:37:11,1,1,1,1,1,1,1,1,1
10:37:12,1,1,1,1,1,1,1,1,1
10:37:13,1,1,1,1,1,1,1,1,1
10:37:14,1,1,1,1,1,1,1,1,1
10:37:15,1,1,1,1,1,1,1,1,1
10:37:16,1,1,1,1,1,1,1,1,1
10:37:17,1,1,1,1,1,1,1,1,1
10:37:18,1,1,1,1,1,1,1,1,1
10:37:19,1,1,1,1,1,1,1,1,1
10:37:20,1,1,1,1,1,1,1,1,1
10:37:21,1,1,1,1,1,1,1,1,1
10:37:22,1,1,1,1,1,1,1,1,1
10:37:23,1,1,1,1,1,1,1,1,1
10:37:24,1,1,1,1,1,1,1,1,1
10:37:25,1,1,1,1,1,1,1,1,1
10:37:26,1,1,1,1,1,1,1,1,1
10:37:27,1,1,1,1,1,1,1,1,1
10:37:28,1,1,1,1,1,1,1,1,1
10:37:29,1,1,1,1,1,1,1,1,1
10:37:30,1,1,1,1,1,1,1,1,1
10:37:31,1,1,1,1,1,1,1,1,1
10:37:32,1,1,1,1,1,1,1,1,1
10:37:33,1,1,1,1,1,1,1,1,1
10:37:34,1,1,1,1,1,1,1,1,1
10:37:35,1,1,1,1,1,1,1,1,1
10:37:36,1,1,1,1,1,1,1,1,1
10:37:37,1,1,1,1,1,1,1,1,1
